ANO,MES,PODER,UO,UG,FONTE_MAE,NATUREZA3,VALOR_EMPENHADO
2024,3,EXE,27524,510524,500,333000000,208800.0
2024,3,EXE,16506,410506,500,333000000,1403.62
2024,3,EXE,20020,510020,540,333000000,1403.63
2024,3,EXE,14541,530541,500,333000000,6000.0
2024,3,EXE,16514,510514,500,333000000,397.86
2024,3,MPE,3004,30004,500,333000000,0.0
2024,3,EXE,19033,540033,500,333000000,0.0
2024,3,EXE,11013,210013,500,331000000,166259.55
2024,3,EXE,21018,410018,500,333000000,0.0
2024,3,EXE,17517,510517,500,333000000,3800.0
2024,3,EXE,27524,510524,600,333000000,13271.4
2024,3,EXE,27524,510556,600,333000000,3753.88
2024,3,EXE,19035,540035,500,333000000,5000.0
2024,3,EXE,19033,540033,500,333000000,373629.09
2024,3,EXE,19035,540035,500,333000000,2345.7
2024,3,JUD,2501,20501,760,333000000,1860689.25
2024,3,EXE,27524,510524,500,333000000,35000.0
2024,3,EXE,17517,510517,500,333000000,15400.0
2024,3,EXE,14541,530541,500,333000000,3450.0
2024,3,EXE,14555,520555,500,331000000,22119.08
2024,3,EXE,34051,340051,500,331000000,67741.81
2024,3,EXE,27524,510556,500,333000000,3034.16
2024,3,EXE,19035,540035,500,333000000,2502.46
2024,3,EXE,18021,510021,500,333000000,385000.0
2024,3,EXE,20020,510020,500,333000000,207.0
2024,3,EXE,21018,410018,500,333000000,239851.69
2024,3,LEG,1002,10002,500,333000000,5500.0
2024,3,EXE,19035,540035,500,333000000,352.91
2024,3,EXE,19035,540035,500,333000000,352.91
2024,3,EXE,20020,510020,540,331000000,36831.88
2024,3,EXE,28027,520027,500,333000000,0.0
2024,3,LEG,1001,10001,500,333000000,39150.0
2024,3,EXE,29032,520032,500,333000000,1500.0
2024,3,EXE,29538,520538,501,333000000,4843.36
2024,3,EXE,30041,300041,500,333000000,10720.0
2024,3,EXE,14030,520030,500,333000000,1544.62
2024,3,EXE,27524,510524,600,333000000,0.0
2024,3,EXE,24037,540037,500,333000000,414.0
2024,3,EXE,24037,540037,500,333000000,0.0
2024,3,EXE,18021,510021,500,333000000,15000.0
2024,3,EXE,19035,540035,500,331000000,52130.65
2024,3,EXE,23542,530542,501,333000000,13500.0
2024,3,EXE,14030,520030,500,333000000,494500.8
2024,3,EXE,24547,540547,500,333000000,842.18
2024,3,EXE,11011,110011,500,331000000,896968.99
2024,3,EXE,23542,530542,501,333000000,2500.0
2024,3,EXE,11564,110564,500,333000000,15000.0
2024,3,EXE,20020,510020,541,333000000,243408.0
2024,3,EXE,16506,410506,500,333000000,20000.0
2024,3,EXE,15526,510526,761,333000000,54000.0
2024,3,JUD,2003,20003,500,333000000,404.26
2024,3,EXE,17517,510517,500,344000000,15150.0
2024,3,EXE,15526,510526,500,333000000,1570.2
2024,3,EXE,23542,530542,501,333000000,34371.46
2024,3,EXE,20020,510020,500,333000000,207.0
2024,3,EXE,14030,520030,500,333000000,18500.0
2024,3,EXE,16026,520026,500,333000000,4236.0
2024,3,EXE,20020,510020,540,333000000,2840000.0
2024,3,EXE,13017,410017,500,333000000,2358.09
2024,3,EXE,16514,510514,500,333000000,7000.0
2024,3,EXE,18021,510021,500,333000000,-28240.0
2024,4,EXE,19034,540034,500,333000000,0.0
2024,4,EXE,19049,190049,500,333000000,277.52
2024,4,EXE,19034,540034,500,333000000,-184238.68
2024,4,EXE,14566,140566,500,333000000,0.0
2024,4,EXE,27524,510524,600,333000000,98848.7
2024,4,EXE,27524,510556,600,333000000,0.0
2024,4,EXE,27524,510556,600,333000000,0.0
2024,4,EXE,13017,410017,500,333000000,27000.0
2024,4,EXE,11006,110006,500,333000000,86.81
2024,4,EXE,17517,510517,500,333000000,0.0
2024,4,EXE,26031,530031,500,333000000,1600.0
2024,4,EXE,17517,510517,500,333000000,400.0
2024,4,EXE,19035,540035,500,333000000,30869.94
2024,4,EXE,19033,410548,500,333000000,0.0
2024,4,EXE,16026,520026,500,333000000,0.0
2024,4,EXE,20516,510516,500,333000000,0.0
2024,4,EXE,19034,540034,500,333000000,0.0
2024,4,JUD,2003,20003,500,333000000,322.12
2024,4,EXE,19034,540034,500,333000000,0.0
2024,4,EXE,29538,520538,501,333000000,0.0
2024,4,EXE,28027,520027,500,333000000,0.0
2024,4,EXE,24038,540038,500,333000000,0.0
2024,4,EXE,28027,520027,500,333000000,17329.6
2024,4,EXE,19512,410512,752,333000000,0.0
2024,4,EXE,19033,540033,500,333000000,0.0
2024,4,EXE,19034,540034,500,333000000,424.6
2024,4,EXE,27556,510556,500,333000000,1556.72
2024,4,EXE,24037,540037,500,333000000,0.0
2024,4,EXE,16514,510514,500,333000000,202500.0
2024,4,EXE,16026,520026,500,333000000,8710.0
2024,4,EXE,19512,410512,501,333000000,0.0
2024,4,EXE,19512,410512,501,333000000,0.0
2024,4,EXE,19035,540035,500,333000000,0.0
2024,4,EXE,19036,540036,500,333000000,0.0
2024,4,EXE,14541,530541,500,333000000,0.0
2024,4,EXE,19512,410512,501,333000000,0.0
2024,4,EXE,14541,530541,500,333000000,2970.0
2024,4,EXE,27524,510023,500,331000000,139557.72
2024,4,EXE,19512,410512,752,333000000,0.0
2024,4,EXE,29031,520031,500,333000000,0.0
2024,4,EXE,19035,540035,500,333000000,352.91
2024,4,EXE,16514,510514,500,333000000,1000.0
2024,4,LEG,1002,10002,500,333000000,0.0
2024,4,EXE,19035,540035,500,333000000,0.0
2024,3,EXE,11011,110011,500,331000000,5855.91
2024,4,EXE,29031,520031,500,331000000,3504.12
2024,4,EXE,27524,510524,500,333000000,9232176.88
2024,4,EXE,27524,510556,500,333000000,2180.4
2024,4,EXE,13511,410511,500,333000000,6023.99
2024,4,EXE,27524,510556,500,333000000,486.0
2024,4,EXE,30041,300041,500,333000000,2879832.04
2024,4,EXE,19033,540033,500,333000000,1147.22
2024,4,EXE,91997,910997,500,333000000,1503457.89
2024,4,EXE,27524,510556,500,333000000,69258.6
2024,4,EXE,14555,520555,500,333000000,362.25
2024,4,EXE,19034,540034,500,333000000,2970.0
2024,4,LEG,1002,10002,500,333000000,0.0
2024,4,EXE,20020,510020,500,333000000,0.0
2024,4,EXE,29031,520031,500,333000000,69.0
2024,4,EXE,13551,510551,500,333000000,3051.5
2024,4,EXE,27524,510524,500,333000000,2676618.64
2024,4,EXE,35032,350032,754,344000000,0.0
2024,4,EXE,27524,510524,600,333000000,27029.8
2024,4,EXE,19036,540036,753,333000000,25.84
2024,4,EXE,35032,350032,500,333000000,69.0
2024,4,EXE,27524,510556,500,333000000,9559.89
2024,4,JUD,2003,20003,500,333000000,6195.84
2024,4,EXE,21018,410018,500,333000000,-2841.52
2024,4,EXE,27524,510524,500,333000000,1170427.44
2024,4,EXE,30041,300041,500,333000000,0.0
2024,4,EXE,35032,350032,500,333000000,621.0
2024,4,EXE,27524,510524,600,333000000,276.0
2024,4,EXE,27524,510524,600,333000000,764320.0
2024,4,EXE,20020,510020,500,333000000,0.0
2024,4,EXE,35032,350032,500,333000000,138.0
2024,4,EXE,19033,540033,500,333000000,0.0
2024,3,EXE,19536,540536,803,331000000,0.0
2024,4,EXE,27524,510524,500,333000000,1378526.65
2024,4,EXE,20020,510020,500,333000000,106910.17
2024,4,EXE,20020,510020,540,333000000,0.0
2024,4,EXE,30041,300041,500,333000000,17556.7
2024,4,EXE,29032,520032,500,331000000,2763.2
2024,4,LEG,1002,10002,500,333000000,0.0
2024,3,EXE,11504,410504,500,333000000,4236.0
2024,4,EXE,29032,520032,500,333000000,307.12
2024,4,EXE,19035,540035,500,333000000,7854.3
2024,4,EXE,11006,110006,500,333000000,8000.0
2024,4,EXE,13551,510551,500,331000000,88519.75
2024,4,EXE,13551,510551,500,331000000,50442.09
2024,4,EXE,19036,540036,500,331000000,2599.94
2024,4,EXE,13017,410017,500,331000000,653.13
2024,4,EXE,13017,410017,500,331000000,31978.47
2024,4,EXE,19034,540034,500,331000000,55332.68
2024,4,EXE,13017,410017,500,333000000,26554.27
2024,4,EXE,27556,510556,500,331000000,12264.13
2024,4,EXE,27556,510556,500,331000000,91244.48
2024,4,EXE,27556,510556,500,331000000,25795.7
2024,4,EXE,34051,340051,500,333000000,0.0
2024,4,EXE,34051,340051,500,333000000,0.0
2024,4,LEG,1002,10002,500,333000000,0.0
2024,4,JUD,2003,20003,500,333000000,0.0
2024,4,EXE,11011,110011,500,344000000,2626.0
2024,4,EXE,29032,520032,500,333000000,60000.0
2024,4,EXE,28027,520027,500,331000000,4217.0
2024,4,EXE,19036,540036,759,333000000,267000.0
2024,4,EXE,11011,110011,500,333000000,0.0
2024,4,JUD,2561,20561,759,333000000,0.0
2024,4,EXE,27524,510556,600,333000000,1600.0
2024,4,JUD,2003,20003,500,333000000,0.0
2024,4,EXE,26031,530031,754,344000000,5000000.0
2024,4,EXE,20020,510020,540,333000000,0.0
2024,4,EXE,19033,540033,500,333000000,0.0
2024,4,EXE,19047,190047,500,331000000,2118253.4
2024,4,EXE,29032,520032,500,333000000,0.0
